event_time,trip_id,stop_sequence,ron,fon,roff,foff
2019-09-04 00:58:44,911874020,25,0,1,0,1
2019-09-04 00:59:54,911874020,26,0,0,0,0
2019-09-04 01:00:15,911874020,27,0,0,0,0
2019-09-04 00:12:13,911872020,35,0,0,0,0
2019-09-04 00:12:35,911872020,36,0,0,0,0
2019-09-04 00:14:44,911872020,38,0,0,0,0
2019-09-04 00:15:19,911872020,39,0,0,0,0
2019-09-04 01:19:17,911874020,61,0,0,0,1
2019-09-04 01:19:52,911874020,62,0,0,0,0
2019-09-04 01:20:07,911875020,1,0,0,0,0
2019-09-04 01:20:29,911875020,2,0,0,0,0
2019-09-04 01:20:41,911875020,3,0,0,0,0
2019-09-04 00:10:07,911872020,31,0,0,1,0
2019-09-04 00:10:47,911872020,32,0,0,0,1
2019-09-04 01:15:59,911874020,54,0,0,0,0
2019-09-04 00:40:26,911874020,3,0,0,0,0
2019-09-04 00:18:55,911872020,47,0,0,0,0
2019-09-04 00:19:07,911872020,48,0,0,0,0
2019-09-04 01:16:24,911874020,55,0,0,1,0
2019-09-04 01:17:10,911874020,56,0,0,0,2
2019-09-04 01:17:51,911874020,57,0,0,0,0
2019-09-04 00:39:35,911874020,2,0,0,0,0
2019-09-04 00:00:49,911872020,14,0,0,0,0
2019-09-04 01:06:20,911874020,38,0,0,0,0
2019-09-04 01:06:36,911874020,39,0,0,0,0
2019-09-04 00:19:36,911872020,49,0,0,0,0
2019-09-04 00:20:34,911872020,50,0,0,0,0
2019-09-04 00:21:11,911872020,51,0,0,0,0
2019-09-04 01:18:09,911874020,58,0,0,0,0
2019-09-04 01:18:29,911874020,59,0,0,1,2
2019-09-04 01:18:50,911874020,60,0,0,0,0
2019-09-04 00:22:12,911872020,52,0,0,0,0
2019-09-04 00:33:03,911231020,32,0,0,1,0
2019-09-04 00:33:29,911231020,33,0,0,0,0
2019-09-04 00:34:23,911231020,34,0,0,0,0
2019-09-04 02:26:49,911234020,6,0,0,0,0
2019-09-04 02:26:58,911234020,7,0,0,0,0
2019-09-04 02:27:07,911234020,8,0,0,0,0
2019-09-04 02:27:20,911234020,9,0,0,0,0
2019-09-04 02:27:31,911234020,10,0,0,0,0
2019-09-04 02:27:45,911234020,11,0,0,0,0
2019-09-04 02:28:01,911234020,12,0,0,0,0
2019-09-04 02:28:42,911234020,13,0,0,0,0
2019-09-04 00:12:38,911231020,3,0,3,0,0
2019-09-04 00:13:43,911231020,4,0,8,0,0
2019-09-04 00:15:21,911231020,5,0,0,0,0
2019-09-04 00:15:47,911231020,6,0,0,0,0
2019-09-04 02:30:49,911234020,20,0,0,0,0
2019-09-04 02:31:06,911234020,21,0,0,0,0
2019-09-04 02:31:21,911234020,22,0,0,0,0
2019-09-04 00:08:01,911230020,60,0,0,0,4
2019-09-04 00:08:58,911230020,60,0,0,0,1
2019-09-04 00:09:42,911230020,61,0,0,2,1
2019-09-04 00:10:11,911231020,1,0,0,0,0
2019-09-04 00:10:46,911231020,2,0,0,0,0
2019-09-04 00:42:51,911231020,48,0,0,0,0
2019-09-04 00:43:13,911231020,49,0,0,0,0
2019-09-04 00:43:35,911231020,50,0,0,0,0
2019-09-04 00:43:49,911231020,51,0,0,0,0
2019-09-04 00:44:13,911231020,52,0,0,0,0
2019-09-04 00:45:05,911231020,52,0,1,1,0
2019-09-04 00:45:14,911231020,52,0,0,0,0
2019-09-04 00:45:38,911231020,53,0,0,0,0
2019-09-04 02:20:08,911229020,55,0,0,0,0
2019-09-04 02:20:56,911229020,55,0,0,1,0
2019-09-04 02:21:13,911229020,56,0,0,0,0
2019-09-04 02:21:33,911229020,56,0,1,1,0
2019-09-04 02:22:29,911229020,57,0,0,0,0
2019-09-04 02:22:47,911229020,57,0,0,0,1
2019-09-04 02:23:02,911229020,58,0,0,0,0
2019-09-04 02:23:17,911229020,59,0,0,0,0
2019-09-04 02:23:36,911229020,59,0,0,0,1
2019-09-04 02:18:15,911229020,52,0,0,0,0
2019-09-04 02:18:30,911229020,52,0,0,1,0
2019-09-04 02:19:17,911229020,53,0,0,0,0
2019-09-04 02:19:47,911229020,54,0,0,0,0
2019-09-04 00:16:58,911231020,7,0,1,0,3
2019-09-04 00:17:29,911231020,8,0,0,0,0
2019-09-04 00:19:43,911231020,9,0,2,0,0
2019-09-04 00:20:43,911231020,10,0,0,0,0
2019-09-04 00:21:12,911231020,11,0,0,0,0
2019-09-04 00:21:44,911231020,12,0,0,0,0
2019-09-04 00:22:45,911231020,13,0,0,0,0
2019-09-04 01:57:43,911229020,16,0,0,0,0
2019-09-04 01:59:12,911229020,17,0,1,0,0
2019-09-04 01:59:53,911229020,18,0,0,0,0
2019-09-04 02:00:26,911229020,19,0,0,0,0
2019-09-04 02:00:53,911229020,20,0,0,0,0
2019-09-04 02:01:07,911229020,21,0,0,0,0
2019-09-04 00:30:06,911231020,26,0,0,0,0
2019-09-04 00:30:28,911231020,27,0,0,0,0
2019-09-04 00:30:41,911231020,28,0,0,0,0
2019-09-04 00:31:00,911231020,29,0,0,0,0
2019-09-04 02:12:16,911229020,41,0,0,0,0
2019-09-04 02:12:41,911229020,42,0,0,0,0
2019-09-04 02:12:58,911229020,42,0,0,0,1
2019-09-04 02:13:26,911229020,43,0,0,0,0
2019-09-04 02:14:03,911229020,43,0,1,0,0
2019-09-04 00:03:43,911230020,56,0,0,0,0
2019-09-04 00:04:32,911230020,56,0,1,0,0
2019-09-04 00:04:38,911230020,57,0,0,0,0
2019-09-04 00:06:05,911230020,58,0,1,0,0
2019-09-04 00:07:06,911230020,59,0,0,0,0
2019-09-04 00:48:32,911231020,60,0,0,0,0
2019-09-04 00:49:03,911231020,61,0,0,0,0
2019-09-04 02:16:19,911229020,48,0,1,0,2
2019-09-04 02:24:01,911229020,60,0,0,0,0
2019-09-04 02:24:24,911229020,61,0,0,0,0
2019-09-04 00:23:07,911231020,14,0,0,0,0
2019-09-04 00:31:28,911231020,29,0,0,1,2
2019-09-04 00:31:48,911231020,30,0,0,0,0
2019-09-04 00:32:17,911231020,31,0,0,0,0
2019-09-04 00:32:47,911231020,32,0,0,0,0
2019-09-04 02:07:15,911229020,34,0,1,0,0
2019-09-04 02:07:42,911229020,35,0,0,0,0
2019-09-04 02:08:16,911229020,35,0,2,0,0
2019-09-04 02:08:46,911229020,36,0,0,0,0
2019-09-04 02:08:59,911229020,37,0,0,0,0
2019-09-04 02:09:55,911229020,38,0,0,0,0
2019-09-04 02:10:22,911229020,38,0,0,1,1
2019-09-04 00:50:34,911231020,62,0,0,0,1
2019-09-04 02:25:45,911234020,2,0,0,0,0
